src,mt,labse_score,type,source_file,line_idx,comet_score
"“I could have confessed because I did it, or I confessed because I saw it in the news and thought I did it.” “In these books of yours,” Hans says, “what would be the next step? What would a person in your situation do?”",「那麼在你的書中，」漢斯說，「接下來會發生什麼呢？,0.656213641166687,3:1,aligned_ch25.jsonl,123,0.4096545875072479
“And he answered?”,「他結婚了？」,0.7015233039855957,1:1,aligned_ch28.jsonl,21,0.41462787985801697
"“It was almost a year ago. You murdered your own wife,” Mayor says, that smug look on his face, that all-knowing, I’m smarter than you look that is making Jerry start to shake with anger.",「大概在一年前，你殺了你的妻子。」,0.7099959850311279,2:1,aligned_ch9.jsonl,210,0.4212122857570648
You want a small umbrella in it?”,裏面加點小虎耳草嗎？」,0.7254629731178284,1:1,aligned_ch10.jsonl,58,0.43593665957450867
"Today is the WMD plus something, and the day of Sandra’s death plus one.",今天是搞砸婚禮后的某一天，桑德拉死後的第一天。,0.6558347940444946,1:1,aligned_ch29.jsonl,3,0.43669095635414124
You’re actually scared that any new fact is going to push out an old one to make room.,其實，你是害怕為了再給生鏽的大腦騰出新空間裝新結識的人。,0.6788972616195679,1:1,aligned_ch3.jsonl,20,0.44255906343460083
"It’s good if you can identify yourself, and even better if you can pay for a taxi or a bus. Money is good—so keep it on you.",很好，還有更好的，那就是你還知道支付計程車費，上了公共汽車還知道買車票。,0.6758570671081543,2:1,aligned_ch18.jsonl,9,0.44916895031929016
"No. There’s more going on here, Henry says.",「不，還有更多。」亨利說，「繼續尋找，你找到了你的日記，但我的還在那裡。」,0.6722698211669922,1:2,aligned_ch33.jsonl,154,0.4576151967048645
Because you didn’t know you’d done it.,因為你不知道是不是你乾的。,0.7252155542373657,1:1,aligned_ch26.jsonl,38,0.4600592851638794
“I did.”,「沒錯，是我乾的。」,0.7075821161270142,1:1,aligned_ch35.jsonl,104,0.4620403051376343
