src,mt,comet_score,source_file,line_idx
"The voice of reason. The voice of Henry Cutter, who wrote the most unreasonable things until a ghost had to start writing them for him.",這理智的聲音是亨利·卡特的，他寫了一連串不合常理的故事，直到代筆開始替他寫。,0.6718693376,aligned_ch17.jsonl,71
"“I almost have it,” he says.",「我快想起來了。」他說。,0.687787354,aligned_ch32.jsonl,240
He decides to stay committed to the cause. To stay on the attack.,他決定保持咄咄逼人的勢態，繼續鬧下去。,0.7322200537,aligned_ch3.jsonl,91
The woman talking isn’t done.,女人的話沒有說完。,0.7326075435,aligned_ch13.jsonl,89
"You spent last night sitting on the floor in Sandra’s blood, holding her hand as she got colder and colder.",你只是坐在地板上，桑德拉的血泊環繞著你。你握著她的手，她的身體越來越涼。,0.6709169149,aligned_ch29.jsonl,5
"You thought about how some suicides fail, how the bullet changes path and rattles around the skull and makes a lot of damage but doesn’t kill. You put the gun back into your mouth.",你想過一些自殺失敗的案例，比如子彈改變彈道，擦過顱骨，雖然受傷但沒法置你于死地。,0.7031514645,aligned_ch27.jsonl,12
"It’s funny how she got under your skin so much, but she did, and not only have you helped her with her own garden, but you’ve put her into book number thirteen.",她要是激怒了你就太有趣了，不過她的確把你激怒了。你不僅成全了她的花園，還把她寫進第十三本書。,0.6367803216,aligned_ch34.jsonl,6
"Your name is Jerry Grey, and you are scared. You’re sitting in your study writing this while your wife, Sandra, is on the phone with her sister, no doubt in tears because this future of yours, well, buddy, nobody saw it coming.",你的名字是傑瑞·格雷，此刻你正驚魂未定地坐在書房裡寫東西，而你的妻子桑德拉正在和她妹妹凱蒂通電話，淚流滿面地說著你的將來該怎麼辦。,0.6987732649,aligned_ch1.jsonl,1
He checks over his shoulder as if looking for somebody watching them.,他扭頭回身，彷彿是在找暗中監視著他們的人。,0.7201206684,aligned_ch18.jsonl,120
Or disprove.,「或者，你也可以反證。,0.7458432913,aligned_ch34.jsonl,28
"Nurse Hamilton gives him one of the saddest smiles he’s ever seen, the kind of smile that makes his chest tighten. This woman pities him.",漢密爾頓護士沖他憂傷地一笑，這是他所見過的最為憂傷的笑容，讓他感覺胸口一陣一陣發緊。,0.7119218111000001,aligned_ch5.jsonl,153
"When Sandra was somewhere deep inside the house Hans pulled a couple of bottles of gin out of his bag. Here you go, buddy.",當桑德拉在屋裡別處時，漢斯從包里拿出了兩瓶杜松子酒。,0.6708943844,aligned_ch15.jsonl,48
"switched on, I guess, during what I thought was an interview. I thought I was there because the police figured out what I’d done back when—”",我以為我在那兒是因為警方發現我過去做的事……」,0.556209445,aligned_ch1.jsonl,72
"She said she’d love some feedback, and you know she’s doing this for you, not for her, but to be asked was such a thrill.",你知道她這樣做都是為了你，而不是為了她自己，但她這樣要求你，還是讓你很激動。,0.6190797091,aligned_ch9.jsonl,9
“You think some of that belongs to the girls?”,「你認為這些屬於那些女孩嗎？」,0.7445783019000001,aligned_ch32.jsonl,74
"Thank God Sandra doesn’t know about the gun, otherwise right now you’d be bleeding from a dozen holes.",感謝老天，桑德拉並不知道槍的事情，否則現在你早就被打成馬蜂窩了。,0.5896588564,aligned_ch20.jsonl,5
There is no Suzan with a z.”,根本就沒有一個叫蘇姍的人。」,0.6969984770000001,aligned_ch6.jsonl,116
"Eva played it, and it was beautiful, but it made the discussion that was coming up so much harder.",伊娃彈奏了那首歌曲，旋律優美動人，給接下來的討論算是出了難題。,0.7155462503000001,aligned_ch6.jsonl,59
"It’s awkward getting Eric out of the back of the car. He’s heavier than Mrs. Smith, and Jerry is sure he’ll have a sore back tomorrow from all this lifting.",把艾瑞克從車後座弄出來挺棘手的，他比史密斯太太重太多了。,0.6983473301,aligned_ch28.jsonl,31
